😀,嘿嘿
🚫,禁止
🚭,禁止吸烟
🚯,禁止乱扔垃圾
🚱,非饮用水
🚳,禁止自行车
🚷,禁止行人通行
🚸,儿童过街
↔,左右箭头
↕,上下箭头
↖,左上箭头
↗,右上箭头
↘,右下箭头
↙,左下箭头
↩,右转弯箭头
↪,左转弯箭头
➡,向右箭头
⤴,右上弯箭头
⤵,右下弯箭头
⬅,向左箭头
⬆,向上箭头
⬇,向下箭头
🔃,顺时针垂直箭头
🔄,逆时针箭头按钮
🔙,返回箭头
🔚,结束箭头
🔛,ON! 箭头
🔜,SOON 箭头
🔝,置顶
☦,东正教十字架
☪,星月
☮,和平符号
☯,阴阳
☸,法轮
⚛,原子符号
✝,十字架
✡,六芒星
🔯,带中间点的六芒星
🕉,奥姆
🕎,烛台
🛐,宗教场所
🪯,坎达
♈,白羊座
♉,金牛座
♊,双子座
♋,巨蟹座
♌,狮子座
♍,处女座
♎,天秤座
♏,天蝎座
♐,射手座
♑,摩羯座
♒,水瓶座
♓,双鱼座
⛎,蛇夫座
⏏,推出按钮
⏩,快进按钮
⏪,快退按钮
⏫,快速上升按钮
⏬,快速下降按钮
⏭,下一个音轨按钮
⏮,上一个音轨按钮
⏯,播放或暂停按钮
⏸,暂停按钮
⏹,停止按钮
⏺,录制按钮
▶,播放按钮
◀,倒退按钮
🎦,电影院
📳,振动模式
📴,手机关机
📶,信号强度条
🔀,随机播放音轨按钮
🔁,重复按钮
🔂,重复一次按钮
🔅,低亮度按钮
🔆,高亮度按钮
🔼,向上三角形按钮
🔽,向下三角形按钮
🛜,无线
♀,女性符号
♂,男性符号
⚧,跨性别符号
♾,无穷大
✖,乘
➕,加
➖,减
➗,除
🟰,粗等号
‼,双感叹号
⁉,感叹疑问号
❓,红色问号
❔,白色问号
❕,白色感叹号
❗,红色感叹号
〰,波浪型破折号
💱,货币兑换
💲,粗美元符号
©,版权
®,注册
™,商标
☑,勾选框
♻,回收标志
⚕,医疗标志
⚜,百合花饰
✅,勾号按钮
✔,勾号
✳,八轮辐星号
✴,八角星
❇,火花
❌,叉号
❎,叉号按钮
➰,卷曲环
➿,双卷曲环
⭕,红色空心圆圈
〽,庵点
📛,姓名牌
🔰,日本新手驾驶标志
🔱,三叉戟徽章
#⃣,按键: #
#️⃣,按键: #
*⃣,按键: *
*️⃣,键帽：*
0⃣,按键: 0
0️⃣,0
1⃣,按键: 1
1️⃣,1
2⃣,按键: 2
2️⃣,2
3⃣,按键: 3
3️⃣,3
4⃣,按键: 4
4️⃣,4
5⃣,按键: 5
5️⃣,5
6⃣,按键: 6
6️⃣,6
7⃣,按键: 7
7️⃣,7
8⃣,按键: 8
8️⃣,键帽：8
9⃣,按键: 9
9️⃣,键帽：9
🔟,按键: 10
ℹ,信息
Ⓜ,圆圈包围的M
㊗,日文的“祝贺”按钮
㊙,日文的“秘密”按钮
🅰,A型血
🅱,B型血
🅾,O 型血
🅿,停车按钮
🆎,AB型血
🆑,CL按钮
🆒,cool按钮
🆓,免费按钮
🆔,ID按钮
🆕,new按钮
🆖,NG按钮
🆗,OK按钮
🆘,SOS按钮
🆙,up按钮
🆚,VS按钮
🈁,日文的“这里”按钮
🈂,日文的“服务费”按钮
🈚,日文的“免费”按钮
🈯,日文的“预留”按钮
🈲,日文的“禁止”按钮
🈳,日文的“有空位”按钮
🈴,日文的“合格”按钮
🈵,日文的“没有空位”按钮
🈶,日文的“收费”按钮
🈷,日文的“月总量”按钮
🈸,日文的“申请”按钮
🈹,日文的“打折”按钮
🈺,日文的“开始营业”按钮
🉐,日文的“议价”按钮
🉑,日文的“可接受”按钮
🔠,输入大写拉丁字母
🔡,输入小写拉丁字母
🔢,输入数字
🔣,输入符号
🔤,输入拉丁字母
▪,黑色小方块
▫,白色小方块
◻,白色中方块
◼,黑色中方块
◽,白色中小方块
◾,黑色中小方块
⚪,白色圆
⚫,黑色圆
⬛,黑线大方框
⬜,白线大方框
💠,带圆点的菱形
🔘,单选按钮
🔲,黑色方形按钮
🔳,白色方形按钮
🔴,红色圆
🔵,蓝色圆
🔶,橙色大菱形
🔷,蓝色大菱形
🔸,橙色小菱形
🔹,蓝色小菱形
🔺,红色正三角
🔻,红色倒三角
🟠,橙色圆
🟡,黄色圆
🟢,绿色圆
🟣,紫色圆
🟤,棕色圆
🟥,红色方块
🟦,蓝色方块
🟧,橙色方块
🟨,黄色方块
🟩,绿色方块
🟪,紫色方块
🟫,棕色方块
🎌,交叉旗
🏁,终点旗
🏳,举白旗
🏳‍⚧,跨性别旗
🏳‍⚧️,跨性别旗
🏳‍🌈,彩虹旗
🏳️‍⚧,跨性别旗
🏳️‍⚧️,跨性别旗
🏳️‍🌈,彩虹旗
🏴,举黑旗
🏴‍☠,海盗旗
🏴‍☠️,海盗旗
🚩,三角旗
🇦🇨,旗: 阿森松岛
🇦🇩,旗: 安道尔
🇦🇪,旗: 阿拉伯联合酋长国
🇦🇫,旗: 阿富汗
🇦🇬,旗: 安提瓜和巴布达
🇦🇮,旗: 安圭拉
🇦🇱,旗: 阿尔巴尼亚
🇦🇲,旗: 亚美尼亚
🇦🇴,旗: 安哥拉
🇦🇶,旗: 南极洲
🇦🇷,旗: 阿根廷
🇦🇸,旗: 美属萨摩亚
🇦🇹,旗: 奥地利
🇦🇺,旗: 澳大利亚
🇦🇼,旗: 阿鲁巴
🇦🇽,旗: 奥兰群岛
🇦🇿,旗: 阿塞拜疆
🇧🇦,旗: 波斯尼亚和黑塞哥维那
🇧🇧,旗: 巴巴多斯
🇧🇩,旗: 孟加拉国
🇧🇪,旗: 比利时
🇧🇫,旗: 布基纳法索
🇧🇬,旗: 保加利亚
🇧🇭,旗: 巴林
🇧🇮,旗: 布隆迪
🇧🇯,旗: 贝宁
🇧🇱,旗: 圣巴泰勒米
🇧🇲,旗: 百慕大
🇧🇳,旗: 文莱
🇧🇴,旗: 玻利维亚
🇧🇶,旗: 荷属加勒比区
🇧🇷,旗: 巴西
🇧🇸,旗: 巴哈马
🇧🇹,旗: 不丹
🇧🇻,旗: 布韦岛
🇧🇼,旗: 博茨瓦纳
🇧🇾,旗: 白俄罗斯
🇧🇿,旗: 伯利兹
🇨🇦,旗: 加拿大
🇨🇨,旗: 科科斯（基林）群岛
🇨🇩,旗: 刚果（金）
🇨🇫,旗: 中非共和国
🇨🇬,旗: 刚果（布）
🇨🇭,旗: 瑞士
🇨🇮,旗: 科特迪瓦
🇨🇰,旗: 库克群岛
🇨🇱,旗: 智利
🇨🇲,旗: 喀麦隆
🇨🇳,旗: 中国
🇨🇴,旗: 哥伦比亚
🇨🇵,旗: 克利珀顿岛
🇨🇷,旗: 哥斯达黎加
🇨🇺,旗: 古巴
🇨🇻,旗: 佛得角
🇨🇼,旗: 库拉索
🇨🇽,旗: 圣诞岛
🇨🇾,旗: 塞浦路斯
🇨🇿,旗: 捷克
🇩🇪,旗: 德国
🇩🇬,旗: 迪戈加西亚岛
🇩🇯,旗: 吉布提
🇩🇰,旗: 丹麦
🇩🇲,旗: 多米尼克
🇩🇴,旗: 多米尼加共和国
🇩🇿,旗: 阿尔及利亚
🇪🇦,旗: 休达及梅利利亚
🇪🇨,旗: 厄瓜多尔
🇪🇪,旗: 爱沙尼亚
🇪🇬,旗: 埃及
🇪🇭,旗: 西撒哈拉
🇪🇷,旗: 厄立特里亚
🇪🇸,旗: 西班牙
🇪🇹,旗: 埃塞俄比亚
🇪🇺,旗: 欧盟
🇫🇮,旗: 芬兰
🇫🇯,旗: 斐济
🇫🇰,旗: 福克兰群岛
🇫🇲,旗: 密克罗尼西亚
🇫🇴,旗: 法罗群岛
🇫🇷,旗: 法国
🇬🇦,旗: 加蓬
🇬🇧,旗: 英国
🇬🇩,旗: 格林纳达
🇬🇪,旗: 格鲁吉亚
🇬🇫,旗: 法属圭亚那
🇬🇬,旗: 根西岛
🇬🇭,旗: 加纳
🇬🇮,旗: 直布罗陀
🇬🇱,旗: 格陵兰
🇬🇲,旗: 冈比亚
🇬🇳,旗: 几内亚
🇬🇵,旗: 瓜德罗普
🇬🇶,旗: 赤道几内亚
🇬🇷,旗: 希腊
🇬🇸,旗: 南乔治亚和南桑威奇群岛
🇬🇹,旗: 危地马拉
🇬🇺,旗: 关岛
🇬🇼,旗: 几内亚比绍
🇬🇾,旗: 圭亚那
🇭🇰,旗: 中国香港特别行政区
🇭🇲,旗: 赫德岛和麦克唐纳群岛
🇭🇳,旗: 洪都拉斯
🇭🇷,旗: 克罗地亚
🇭🇹,旗: 海地
🇭🇺,旗: 匈牙利
🇮🇨,旗: 加纳利群岛
🇮🇩,旗: 印度尼西亚
🇮🇪,旗: 爱尔兰
🇮🇱,旗: 以色列
🇮🇲,旗: 马恩岛
🇮🇳,旗: 印度
🇮🇴,旗: 英属印度洋领地
🇮🇶,旗: 伊拉克
🇮🇷,旗: 伊朗
🇮🇸,旗: 冰岛
🇮🇹,旗: 意大利
🇯🇪,旗: 泽西岛
🇯🇲,旗: 牙买加
🇯🇴,旗: 约旦
🇯🇵,旗: 日本
🇰🇪,旗: 肯尼亚
🇰🇬,旗: 吉尔吉斯斯坦
🇰🇭,旗: 柬埔寨
🇰🇮,旗: 基里巴斯
🇰🇲,旗: 科摩罗
🇰🇳,旗: 圣基茨和尼维斯
🇰🇵,旗: 朝鲜
🇰🇷,旗: 韩国
🇰🇼,旗: 科威特
🇰🇾,旗: 开曼群岛
🇰🇿,旗: 哈萨克斯坦
🇱🇦,旗: 老挝
🇱🇧,旗: 黎巴嫩
🇱🇨,旗: 圣卢西亚
🇱🇮,旗: 列支敦士登
🇱🇰,旗: 斯里兰卡
🇱🇷,旗: 利比里亚
🇱🇸,旗: 莱索托
🇱🇹,旗: 立陶宛
🇱🇺,旗: 卢森堡
🇱🇻,旗: 拉脱维亚
🇱🇾,旗: 利比亚
🇲🇦,旗: 摩洛哥
🇲🇨,旗: 摩纳哥
🇲🇩,旗: 摩尔多瓦
🇲🇪,旗: 黑山
🇲🇫,旗: 法属圣马丁
🇲🇬,旗: 马达加斯加
🇲🇭,旗: 马绍尔群岛
🇲🇰,旗: 北马其顿
🇲🇱,旗: 马里
🇲🇲,旗: 缅甸
🇲🇳,旗: 蒙古
🇲🇴,旗: 中国澳门特别行政区
🇲🇵,旗: 北马里亚纳群岛
🇲🇶,旗: 马提尼克
🇲🇷,旗: 毛里塔尼亚
🇲🇸,旗: 蒙特塞拉特
🇲🇹,旗: 马耳他
🇲🇺,旗: 毛里求斯
🇲🇻,旗: 马尔代夫
🇲🇼,旗: 马拉维
🇲🇽,旗: 墨西哥
🇲🇾,旗: 马来西亚
🇲🇿,旗: 莫桑比克
🇳🇦,旗: 纳米比亚
🇳🇨,旗: 新喀里多尼亚
🇳🇪,旗: 尼日尔
🇳🇫,旗: 诺福克岛
🇳🇬,旗: 尼日利亚
🇳🇮,旗: 尼加拉瓜
🇳🇱,旗: 荷兰
🇳🇴,旗: 挪威
🇳🇵,旗: 尼泊尔
🇳🇷,旗: 瑙鲁
🇳🇺,旗: 纽埃
🇳🇿,旗: 新西兰
🇴🇲,旗: 阿曼
🇵🇦,旗: 巴拿马
🇵🇪,旗: 秘鲁
🇵🇫,旗: 法属波利尼西亚
🇵🇬,旗: 巴布亚新几内亚
🇵🇭,旗: 菲律宾
🇵🇰,旗: 巴基斯坦
🇵🇱,旗: 波兰
🇵🇲,旗: 圣皮埃尔和密克隆群岛
🇵🇳,旗: 皮特凯恩群岛
🇵🇷,旗: 波多黎各
🇵🇸,旗: 巴勒斯坦领土
🇵🇹,旗: 葡萄牙
🇵🇼,旗: 帕劳
🇵🇾,旗: 巴拉圭
🇶🇦,旗: 卡塔尔
🇷🇪,旗: 留尼汪
🇷🇴,旗: 罗马尼亚
🇷🇸,旗: 塞尔维亚
🇷🇺,旗: 俄罗斯
🇷🇼,旗: 卢旺达
🇸🇦,旗: 沙特阿拉伯
🇸🇧,旗: 所罗门群岛
🇸🇨,旗: 塞舌尔
🇸🇩,旗: 苏丹
🇸🇪,旗: 瑞典
🇸🇬,旗: 新加坡
🇸🇭,旗: 圣赫勒拿
🇸🇮,旗: 斯洛文尼亚
🇸🇯,旗: 斯瓦尔巴和扬马延
🇸🇰,旗: 斯洛伐克
🇸🇱,旗: 塞拉利昂
🇸🇲,旗: 圣马力诺
🇸🇳,旗: 塞内加尔
🇸🇴,旗: 索马里
🇸🇷,旗: 苏里南
🇸🇸,旗: 南苏丹
🇸🇹,旗: 圣多美和普林西比
🇸🇻,旗: 萨尔瓦多
🇸🇽,旗: 荷属圣马丁
🇸🇾,旗: 叙利亚
🇸🇿,旗: 斯威士兰
🇹🇦,旗: 特里斯坦-达库尼亚群岛
🇹🇨,旗: 特克斯和凯科斯群岛
🇹🇩,旗: 乍得
🇹🇫,旗: 法属南部领地
🇹🇬,旗: 多哥
🇹🇭,旗: 泰国
🇹🇯,旗: 塔吉克斯坦
🇹🇰,旗: 托克劳
🇹🇱,旗: 东帝汶
🇹🇲,旗: 土库曼斯坦
🇹🇳,旗: 突尼斯
🇹🇴,旗: 汤加
🇹🇷,旗: 土耳其
🇹🇹,旗: 特立尼达和多巴哥
🇹🇻,旗: 图瓦卢
🇹🇼,旗: 台湾
🇹🇿,旗: 坦桑尼亚
🇺🇦,旗: 乌克兰
🇺🇬,旗: 乌干达
🇺🇲,旗: 美国本土外小岛屿
🇺🇳,旗: 联合国
🇺🇸,旗: 美国
🇺🇾,旗: 乌拉圭
🇺🇿,旗: 乌兹别克斯坦
🇻🇦,旗: 梵蒂冈
🇻🇨,旗: 圣文森特和格林纳丁斯
🇻🇪,旗: 委内瑞拉
🇻🇬,旗: 英属维尔京群岛
🇻🇮,旗: 美属维尔京群岛
🇻🇳,旗: 越南
🇻🇺,旗: 瓦努阿图
🇼🇫,旗: 瓦利斯和富图纳
🇼🇸,旗: 萨摩亚
🇽🇰,旗: 科索沃
🇾🇪,旗: 也门
🇾🇹,旗: 马约特
🇿🇦,旗: 南非
🇿🇲,旗: 赞比亚
🇿🇼,旗: 津巴布韦
🏴󠁧󠁢󠁥󠁮󠁧󠁿,旗: 英格兰
🏴󠁧󠁢󠁳󠁣󠁴󠁿,旗: 苏格兰
🏴󠁧󠁢󠁷󠁬󠁳󠁿,旗: 威尔士
